GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
ACT-3	WBGene00000065	T04C12.4.3	T04C12.4.3	179535
ACT-4	WBGene00000066	M03F4.2a	M03F4.2a	180767
ACT-4	WBGene00000066	M03F4.2b.1	M03F4.2b.1	180767
ACT-4	WBGene00000066	M03F4.2b.2	M03F4.2b.2	180767
ACT-4	WBGene00000066	M03F4.2b.3	M03F4.2b.3	180767
ACT-4	WBGene00000066	M03F4.2b.4	M03F4.2b.4	180767
ACT-4	WBGene00000066	M03F4.2b.5	M03F4.2b.5	180767
ACT-4	WBGene00000066	M03F4.2b.6	M03F4.2b.6	180767
ACT-4	WBGene00000066	M03F4.2c	M03F4.2c	180767
ACT-5	WBGene00000067	T25C8.2.1	T25C8.2.1	176793
ACT-5	WBGene00000067	T25C8.2.2	T25C8.2.2	176793
ACY-1	WBGene00000068	F17C8.1	F17C8.1	175622
ACY-2	WBGene00000069	C10F3.3	C10F3.3	191607
ACY-3	WBGene00000070	C44F1.5	C44F1.5	175489
ACY-4	WBGene00000071	T01C2.1	T01C2.1	178949
ADD-1	WBGene00000072	F39C12.2a	F39C12.2a	180760
ADD-1	WBGene00000072	F39C12.2b	F39C12.2b	180760
ADD-1	WBGene00000072	F39C12.2c	F39C12.2c	180760
ADD-1	WBGene00000072	F39C12.2d	F39C12.2d	180760
ADD-1	WBGene00000072	F39C12.2e	F39C12.2e	180760
ADD-2	WBGene00000073	F57F5.4a.1	F57F5.4a.1	179647
ADD-2	WBGene00000073	F57F5.4a.2	F57F5.4a.2	179647
ADD-2	WBGene00000073	F57F5.4b	F57F5.4b	179647
ADM-2	WBGene00000074	C04A11.4	C04A11.4	181489
ADM-4	WBGene00000075	ZK154.7	ZK154.7	181041
ADR-1	WBGene00000079	H15N14.1c	H15N14.1c	172542
ADR-1	WBGene00000079	H15N14.1d	H15N14.1d	172542
ADR-1	WBGene00000079	H15N14.1e	H15N14.1e	172542
ADR-1	WBGene00000079	H15N14.1f	H15N14.1f	172542
ADR-1	WBGene00000079	H15N14.1g	H15N14.1g	172542
ADR-2	WBGene00000080	T20H4.4	T20H4.4	176022
ADS-1	WBGene00000081	Y50D7A.7	Y50D7A.7	175192
ADT-1	WBGene00000082	C02B4.1	C02B4.1	181412
ADT-2	WBGene00000083	F08C6.1a.1	F08C6.1a.1	181022
ADT-2	WBGene00000083	F08C6.1a.2	F08C6.1a.2	181022
ADT-2	WBGene00000083	F08C6.1b	F08C6.1b	181022
ADT-2	WBGene00000083	F08C6.1c.1	F08C6.1c.1	181022
ADT-2	WBGene00000083	F08C6.1c.2	F08C6.1c.2	181022
AEX-1	WBGene00000084	D2030.10a	D2030.10a	172519
AEX-1	WBGene00000084	D2030.10b	D2030.10b	172519
AEX-2	WBGene00000085	T14B1.2	T14B1.2	188491
AEX-3	WBGene00000086	C02H7.3a	C02H7.3a	180420
AEX-3	WBGene00000086	C02H7.3b	C02H7.3b	180420
AEX-5	WBGene00000088	F32A7.6	F32A7.6	173358
AEX-6	WBGene00000089	Y87G2A.4	Y87G2A.4	173223
AGE-1	WBGene00000090	B0334.8a	B0334.8a	174762
AGE-1	WBGene00000090	B0334.8b	B0334.8b	174762
AGS-3	WBGene00000092	F32A6.4a	F32A6.4a	180801
AGS-3	WBGene00000092	F32A6.4b	F32A6.4b	180801
AGS-3	WBGene00000092	F32A6.4c	F32A6.4c	180801
AGT-1	WBGene00000093	Y62E10A.5a	Y62E10A.5a	190454
AGT-1	WBGene00000093	Y62E10A.5b.1	Y62E10A.5b.1	190454
AGT-1	WBGene00000093	Y62E10A.5b.2	Y62E10A.5b.2	190454
AGT-2	WBGene00000094	F09E5.13	F09E5.13	184244
AHA-1	WBGene00000095	C25A1.11a	C25A1.11a	172889
AHA-1	WBGene00000095	C25A1.11b	C25A1.11b	172889
AHR-1	WBGene00000096	C41G7.5a	C41G7.5a	172788
AHR-1	WBGene00000096	C41G7.5b	C41G7.5b	172788
AIP-1	WBGene00000097	F58E10.4	F58E10.4	179898
AIR-1	WBGene00000098	K07C11.2.1	K07C11.2.1	179202
AIR-1	WBGene00000098	K07C11.2.2	K07C11.2.2	179202
AIR-2	WBGene00000099	B0207.4	B0207.4	172268
AJM-1	WBGene00000100	C25A11.4a	C25A11.4a	181148
AJM-1	WBGene00000100	C25A11.4b	C25A11.4b	181148
AJM-1	WBGene00000100	C25A11.4c	C25A11.4c	181148
AJM-1	WBGene00000100	C25A11.4d	C25A11.4d	181148
AJM-1	WBGene00000100	C25A11.4e	C25A11.4e	181148
AKA-1	WBGene00000101	D1022.7a.1	D1022.7a.1	174216
AKA-1	WBGene00000101	D1022.7a.2	D1022.7a.2	174216
AKA-1	WBGene00000101	D1022.7b.1	D1022.7b.1	174216
AKA-1	WBGene00000101	D1022.7b.2	D1022.7b.2	174216
AKA-1	WBGene00000101	D1022.7c.1	D1022.7c.1	174216
AKA-1	WBGene00000101	D1022.7c.2	D1022.7c.2	174216
AKT-1	WBGene00000102	C12D8.10a	C12D8.10a	179424
