GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
ADD-1	WBGene00000072	F39C12.2c	F39C12.2c
ADD-1	WBGene00000072	F39C12.2d	F39C12.2d
ADD-1	WBGene00000072	F39C12.2e	F39C12.2e
ADD-2	WBGene00000073	F57F5.4a.1	F57F5.4a.1
ADD-2	WBGene00000073	F57F5.4a.2	F57F5.4a.2
ADD-2	WBGene00000073	F57F5.4b	F57F5.4b
ADM-2	WBGene00000074	C04A11.4	C04A11.4
ADM-4	WBGene00000075	ZK154.7	ZK154.7
ADR-1	WBGene00000079	H15N14.1c	H15N14.1c
ADR-1	WBGene00000079	H15N14.1d	H15N14.1d
ADR-1	WBGene00000079	H15N14.1e	H15N14.1e
ADR-1	WBGene00000079	H15N14.1f	H15N14.1f
ADR-1	WBGene00000079	H15N14.1g	H15N14.1g
ADR-2	WBGene00000080	T20H4.4	T20H4.4
ADS-1	WBGene00000081	Y50D7A.7	Y50D7A.7
ADT-1	WBGene00000082	C02B4.1	C02B4.1
ADT-2	WBGene00000083	F08C6.1a.1	F08C6.1a.1
ADT-2	WBGene00000083	F08C6.1a.2	F08C6.1a.2
ADT-2	WBGene00000083	F08C6.1b	F08C6.1b
ADT-2	WBGene00000083	F08C6.1c.1	F08C6.1c.1
ADT-2	WBGene00000083	F08C6.1c.2	F08C6.1c.2
AEX-1	WBGene00000084	D2030.10a	D2030.10a
AEX-1	WBGene00000084	D2030.10b	D2030.10b
AEX-2	WBGene00000085	T14B1.2	T14B1.2
AEX-3	WBGene00000086	C02H7.3a	C02H7.3a
AEX-3	WBGene00000086	C02H7.3b	C02H7.3b
AEX-5	WBGene00000088	F32A7.6	F32A7.6
AEX-6	WBGene00000089	Y87G2A.4	Y87G2A.4
AGE-1	WBGene00000090	B0334.8a	B0334.8a
AGE-1	WBGene00000090	B0334.8b	B0334.8b
AGS-3	WBGene00000092	F32A6.4a	F32A6.4a
AGS-3	WBGene00000092	F32A6.4b	F32A6.4b
AGS-3	WBGene00000092	F32A6.4c	F32A6.4c
AGT-1	WBGene00000093	Y62E10A.5a	Y62E10A.5a
AGT-1	WBGene00000093	Y62E10A.5b.1	Y62E10A.5b.1
AGT-1	WBGene00000093	Y62E10A.5b.2	Y62E10A.5b.2
AGT-2	WBGene00000094	F09E5.13	F09E5.13
AHA-1	WBGene00000095	C25A1.11a	C25A1.11a
AHA-1	WBGene00000095	C25A1.11b	C25A1.11b
AHR-1	WBGene00000096	C41G7.5a	C41G7.5a
AHR-1	WBGene00000096	C41G7.5b	C41G7.5b
AIP-1	WBGene00000097	F58E10.4	F58E10.4
AIR-1	WBGene00000098	K07C11.2.1	K07C11.2.1
AIR-1	WBGene00000098	K07C11.2.2	K07C11.2.2
AIR-2	WBGene00000099	B0207.4	B0207.4
AJM-1	WBGene00000100	C25A11.4a	C25A11.4a
AJM-1	WBGene00000100	C25A11.4b	C25A11.4b
AJM-1	WBGene00000100	C25A11.4c	C25A11.4c
AJM-1	WBGene00000100	C25A11.4d	C25A11.4d
AJM-1	WBGene00000100	C25A11.4e	C25A11.4e
AKA-1	WBGene00000101	D1022.7a.1	D1022.7a.1
AKA-1	WBGene00000101	D1022.7a.2	D1022.7a.2
AKA-1	WBGene00000101	D1022.7b.1	D1022.7b.1
AKA-1	WBGene00000101	D1022.7b.2	D1022.7b.2
AKA-1	WBGene00000101	D1022.7c.1	D1022.7c.1
AKA-1	WBGene00000101	D1022.7c.2	D1022.7c.2
AKT-1	WBGene00000102	C12D8.10a	C12D8.10a
AKT-1	WBGene00000102	C12D8.10b	C12D8.10b
AKT-1	WBGene00000102	C12D8.10c	C12D8.10c
