Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	Gene name
YBR134W		P38275	
YHR126C	856527	P38832	ANS1
YPR194C	856324	Q06593	OPT2
YGL160W	852716	P53109	AIM14
YAL003W	851260	P32471	EFB1
YPL084W	856021	P48582	BRO1
YNL152W	855570	P53901	INN1
YCL002C	850353	P25565	
YIL117C	854689	P40476	PRM5
YBL037W	852243	P38065	APL3
YNL140C	855582	P53910	
YDR232W	851818	P09950	HEM1
YJL062W-A	853383	Q3E7B2	COA3
YBR019C	852307	P04397	GAL10
YBR022W	852310	P38218	POA1
YDR158W	851736	P13663	HOM2
YOR230W	854405	Q12363	WTM1
YNL099C	855624	P50946	OCA1
YKL173W	853681	P36048	SNU114
YER159C	856904	P40096	BUR6
YML057W	854946	P14747	CMP2
YML055W	854949	Q04969	SPC2
YDR439W	852049	Q04087	LRS4
YBR121C-A		P0C5L4	
YJL110C	853334	P42944	GZF3
YNL182C	855539	P53877	IPI3
YJR088C	853550	P47133	EMC2
YMR105C	855131	P37012	PGM2
YOR144C	854315	Q12050	ELG1
YPR101W	856216	Q06091	SNT309
YPL179W	855923	P32945	PPQ1
YCL024W	850334	P25389	KCC4
YNL180C	855541	P53879	RHO5
YLR321C	851032	Q06168	SFH1
YPL224C	855877	Q08970	MMT2
YOL081W	854073	P19158	IRA2
YNR001C	855732	P00890	CIT1
YOL052C	854105	P21182	SPE2
YOR285W	854459	Q12305	RDL1
YIL050W	854761	P40186	PCL7
YMR268C	855310	P49960	PRP24
YDL206W	851321	Q12424	
YLR327C	851037	Q06177	TMA10
YBR119W	852416	P32605	MUD1
YDR125C	851703	Q04623	ECM18
YFR052W	850613	P32496	RPN12
YLR154C-H	1466414	P0CY05	
YLR154C-H	1466415	P0CY05	
YLR154C-H	1466411	P0CY05	
YLR154C-H	1466410	P0CY05	
YLR154C-H	1466414	P0CY02	
YLR154C-H	1466415	P0CY02	
YLR154C-H	1466411	P0CY02	
YLR154C-H	1466410	P0CY02	
YLR154C-H	1466414	P0CY04	
YLR154C-H	1466415	P0CY04	
YLR154C-H	1466411	P0CY04	
YLR154C-H	1466410	P0CY04	
YLR154C-H	1466414	P0CY03	
YLR154C-H	1466415	P0CY03	
YLR154C-H	1466411	P0CY03	
YLR154C-H	1466410	P0CY03	
YGL211W	852661	P53088	NCS6
YIL107C	854699	P40433	PFK26
YJL213W	853217	P40896	
YML133W-B		P0CL34	
YML133W-B		P0CL35	
YML133W-B		P0CL36	
YPR204W	856334	Q08995	
YBL022C	852259	P36775	PIM1
YIL150C	854656	P32354	MCM10
YPR103W	856218	P30656	PRE2
YGR141W	853042	P53285	VPS62
YIL165C	854641	P40446	
YDR338C	851938	Q05497	
YKL061W	853804	P35727	BLI1
YOR058C	854223	P50275	ASE1
YPR155C	856278	Q12374	NCA2
YDR526C		P87274	
YJR046W	853504	P47112	TAH11
YER084W	856816	P40057	
YOR270C	854444	P32563	VPH1
YHR125W		P38831	
YGL239C		P53069	
YDR533C	852146	Q04432	HSP31
YOL154W	854011	Q12512	ZPS1
YOR115C	854282	Q99394	TRS33
YDR272W	851865	Q05584	GLO2
YLR247C	850949	Q06554	IRC20
YER183C	856932	P40099	FAU1
YKL139W	853718	Q03957	CTK1
YOL003C	854159	Q12006	PFA4
YNL091W	855633	P53935	NST1
YGL097W	852782	P21827	SRM1
YGR030C	852918	P53218	POP6
YNL157W	855565	P53897	IGO1
YDR197W	851778	P14905	CBS2
YEL009C-A		A0A023PZF2	
YNL315C	855401	P32453	ATP11
YDR512C	852125	Q04406	EMI1
YOR258W	854432	Q08702	HNT3
YPL250W-A		P0C5S0	
YDR489W	852100	Q03406	SLD5
YEL059C-A	856650	Q05676	SOM1
YOL103W	854050	P30606	ITR2
YLR167W	850864	P05759	RPS31
YLR220W	850917	P47818	CCC1
YLR455W	851177	Q06188	PDP3
YJL020C	853433	P47068	BBC1
YLR282C		O13542	
YKL180W	853674	P05740	RPL17A
YOR215C	854390	Q12032	AIM41
YDR299W	851893	Q06631	BFR2
YKL004W	853866	P36107	AUR1
YDL015C	851547	Q99190	TSC13
YDR304C	851898	P35176	CPR5
YNL221C	855500	P41812	POP1
YHR206W	856613	P38889	SKN7
YML090W		Q04501	
YDR271C		P87282	
YOL095C	854058	Q12039	HMI1
YPL244C	855832	Q12520	HUT1
YAL053W	851246	P39719	FLC2
YDL181W	851347	P01097	INH1
YGR224W	853139	P50080	AZR1
YHR097C	856497	P38809	
YLR094C	850783	Q12418	GIS3
YPR141C	856263	P17119	KAR3
YGR142W	853043	P53286	BTN2
YML101C	854871	Q04201	CUE4
YFL064C	850480	P43540	
YOL063C	854091	Q08226	CRT10
YNR052C	855788	P39008	POP2
YCR060W	850424	P25638	TAH1
YGR186W	853098	P41895	TFG1
YNL061W	855664	P40991	NOP2
YOL079W		Q08238	
YDR367W	851973	Q06346	KEI1
YER172C	856919	P32639	BRR2
YHR005C-A	856395	P87108	TIM10
YCR071C	850434	P25642	IMG2
YOR389W	854571	Q08912	
Q0065	854596	P03878	AI4
YGR181W	853093	P53299	TIM13
YLR272C	850977	Q06156	YCS4
YKL143W	853714	P34078	LTV1
YNL284C	855436	P36520	MRPL10
YLR264C-A	1466417	Q3E732	
YDR085C	851658	P33304	AFR1
YIL045W	854766	P40187	PIG2
YMR012W	855025	Q03690	CLU1
YJL187C	853252	P32944	SWE1
YCR007C	850364	P25354	
YOR231W	854406	P32490	MKK1
YHR193C-A		A0A023PYH5	
YJR131W	853595	P32906	MNS1
YDL097C	851461	Q12377	RPN6
YHR007C	856398	P10614	ERG11
YHR214C-D	1466534	P0CX93	
YHR214C-D	1466534	P0CX92	
YIL126W	854680	P32597	STH1
YGL081W	852799	P53156	
YMR202W	855242	P32352	ERG2
YOR021C	854186	Q12314	SFM1
YGR082W	852973	P35180	TOM20
YOR139C		Q08532	
YPR156C	856279	Q06451	TPO3
YMR083W	855107	P07246	ADH3
YAL031W-A		A0A023PZ94	
YPL240C	855836	P02829	HSP82
YNR040W	855776	P53736	
YPR188C	856318	Q06580	MLC2
YFL015C		P43578	
YHR212W-A	1466531	P0CX90	
YHR212W-A	1466531	P0CX91	
YGL028C	852856	P53189	SCW11
YDL139C	851416	Q12334	SCM3
YJL133W	853308	P10566	MRS3
YKL062W	853803	P33749	MSN4
YFL011W	850536	P43581	HXT10
YPL111W	855993	P00812	CAR1
YHR184W	856590	P38871	SSP1
YOR120W	854287	P14065	GCY1
YPR119W	856236	P24869	CLB2
YNL246W	855475	P53853	VPS75
YFR017C	850572	P43598	IGD1
YLR338W		O94084	OPI9
YCL012C	2746859	Q8J0M4	
YJL086C		P47028	
YBR243C	852545	P07286	ALG7
YGL021W	852863	P43633	ALK1
YDR200C	851781	Q03944	VPS64
YBR234C	852536	P38328	ARC40
YJR053W	853513	P47113	BFA1
YDR191W	851772	P53688	HST4
YDR451C	852062	Q04116	YHP1
YGL110C	852768	P53137	CUE3
YJR044C	853502	P47111	VPS55
YGR167W	853077	P17891	CLC1
YGL017W	852867	P16639	ATE1
YLR181C	850878	Q06263	VTA1
YBR179C	852477	P38297	FZO1
YBR247C	852549	P38333	ENP1
YOL038W	854119	P40303	PRE6
YOR023C	854188	Q12433	AHC1
YJR100C	853563	P47140	AIM25
YOL124C	853996	Q12463	TRM11
YOR212W	854387	P18851	STE4
YDR469W	852080	Q03323	SDC1
YMR017W	855031	Q04359	SPO20
YDR470C	852081	Q03327	UGO1
YIL158W	854648	P40451	AIM20
YBR124W		P38269	
YLR458W		A0A023PZK9	
YML085C	854889	P09733	TUB1
YOL013W-A	854147	P0C272	
YPL192C	855909	Q08931	PRM3
YNL097W-A		Q8TGL8	
YBL086C	852192	P38177	
YDR105C	851682	Q12116	TMS1
YGR156W	853060	P39927	PTI1
YDR483W	852094	P27809	KRE2
YKL172W	853682	P36049	EBP2
YML013W	854995	Q04228	UBX2
YOL120C	855415	P0CX49	RPL18A
YOL120C	854029	P0CX49	RPL18A
YOL120C	855415	P0CX50	RPL18A
YOL120C	854029	P0CX50	RPL18A
YER092W	856827	P40060	IES5
YGR291C		P53340	
YOR181W	854353	Q12446	LAS17
YDL123W	851434	Q07549	SNA4
YGR197C	853111	P46950	SNG1
YBL065W		P38188	
YIR018W	854835	P40574	YAP5
YPL059W	856048	Q02784	GRX5
YPL218W	855883	P20606	SAR1
YBR227C	852528	P38323	MCX1
YJR012C	853469	P47087	
YDL199C	851328	Q12407	
YIR039C	854857	P40583	YPS6
YMR224C	855264	P32829	MRE11
YGR041W	852932	P53226	BUD9
YKR014C	853884	P36018	YPT52
YGL079W	852801	P53158	KXD1
YLR180W	850877	P10659	SAM1
YAL019W	851214	P31380	FUN30
YNL121C	855602	P07213	TOM70
YBR218C	852519	P32327	PYC2
YLR250W	850952	P39931	SSP120
YCR081C-A		Q8TGQ0	
YKL149C	853708	P24309	DBR1
YBR244W	852546	P38143	GPX2
YFL018C	850527	P09624	LPD1
YLR222C-A		P0C5P7	
YOR333C		Q08789	
YAL024C	851209	P07866	LTE1
Q0080	854600	P00856	ATP8
Q0080	24573117	P00856	ATP8
YGL107C	852771	P53140	RMD9
YMR059W	855081	Q04675	SEN15
YDR505C	852116	P50896	PSP1
YDL045W-A	851515	O75012	MRP10
YGL168W	852708	P45820	HUR1
YMR072W	855094	Q02486	ABF2
YDL045C	851516	P38913	FAD1
YPL264C	855864	Q08980	
YBR160W	852457	P00546	CDC28
YMR304W	855350	P50101	UBP15
YML087C	854887	Q04516	AIM33
YMR195W	855235	Q04329	ICY1
YIL082W		Q99219	
YOR335C			ALA1
YDR361C	851963	Q06338	BCP1
YIL056W	854755	P40522	VHR1
YEL008C-A		Q8TGP3	
YBL080C	852198	P33893	PET112
YIL161W	854645	P40449	
YBR083W	852377	P18412	TEC1
YBR294W	852597	P38359	SUL1
YJR067C	853530	P47118	YAE1
YEL032W	856680	P24279	MCM3
YKR099W	853974	P22035	BAS1
YFL032W		P43566	
YKL110C	853750	P34253	KTI12
YPL198W	855903	Q12213	RPL7B
YNL043C		P53957	
YNR055C	855792	P53389	HOL1
YJR146W	853611	P47174	
YPL006W	856101	Q12200	NCR1
YHR132C	856533	P38836	ECM14
YPR161C	856290	P23293	SGV1
YKL094W	853768	P28321	YJU3
YJR140W-A		Q8TGN1	
YPL145C	855958	P35844	KES1
YMR240C	855281	Q02554	CUS1
YKR094C	853969	P0CH09	RPL40B
YKR094C	854658	P0CH09	RPL40B
YKR094C	853969	P0CH08	RPL40B
YKR094C	854658	P0CH08	RPL40B
YDR406W-A		P0C5M2	
YLR424W	851143	Q06411	SPP382
YGL228W	852623	P53075	SHE10
YNL039W	855689	P46678	BDP1
YMR308C	855356	P32337	PSE1
YIL119C	854687	P23250	RPI1
YGR183C	853095	P22289	QCR9
YOL046C		Q08216	
