Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	Gene name
YIR014W	854831	P40570	
YLR288C	850995	Q02574	MEC3
YPL147W	855956	P41909	PXA1
YDL073W	851486	Q07454	AHK1
YGL120C	852757	P53131	PRP43
YAL060W	851239	P39714	BDH1
YNL217W	855504	P40152	
YIR033W	854851	P40578	MGA2
YLL001W	850686	P54861	DNM1
YKR066C	853940	P00431	CCP1
YLR409C	851125	Q06078	UTP21
YHR208W	856615	P38891	BAT1
YNL029C	855703	P53966	KTR5
YHR001W	856389	P38755	OSH7
YLR099C	850788	Q12385	ICT1
YJL156W-A		P0C5N9	
YLR131C	850822	P21192	ACE2
YER081W	856814	P40054	SER3
YDL115C	851442	Q07532	IWR1
YPL107W	855997	Q02873	
YOR296W	854471	Q08748	
YER010C	856728	P40011	
YML099W-A		Q6B2I9	
YLR362W	851076	P23561	STE11
YJL106W	853338	P32581	IME2
YOR260W	854434	P09032	GCD1
YBR261C	852564	P38340	TAE1
YIL105C	854701	P40485	SLM1
YPL169C	855934	Q99257	MEX67
YDL145C	851410	P53622	COP1
YPR169W-A		P0C5R7	
YJL171C	853268	P46992	TOH1
YNR028W	855762	P53728	CPR8
YPR170W-A		P0C5R8	
YER018C	856738	P40014	SPC25
YMR211W	855251	Q03652	DML1
YLR256W	850958	P0CE41	HAP1
YAL017W	851216	P31374	PSK1
YDR203W		A0A023PXI4	
YJL058C	853388	P47041	BIT61
YOR373W	854555	P32336	NUD1
YIL057C	854753	P40188	RGI2
YHR131C	856532	P38835	
YLR068W	850757	Q12247	FYV7
YPR014C		Q6B0W2	
YHR049C-A		O13533	
YDL104C	851454	P43122	QRI7
YIL017C	854795	P40547	VID28
YNL009W	855723	P53982	IDP3
YBR034C	852322	P38074	HMT1
YPR049C	856162	Q12527	ATG11
YPL087W	856018	Q02896	YDC1
YJL132W	853309	P47014	
YIL132C	854674	P40465	CSM2
YKL117W	853743	P28707	SBA1
YKL140W	853717	P34163	TGL1
YPR115W	856231	Q06108	RGC1
YOR163W	854334	Q99321	DDP1
YMR283C	855326	P23796	RIT1
YKL007W	853862	P28495	CAP1
YNL024C-A	1466516	Q8TGJ3	KSH1
YDL149W	851406	Q12142	ATG9
YLR101C		Q08027	
YGR252W	853167	Q03330	GCN5
YOR029W		Q12243	
YLR341W	851054	Q06134	SPO77
YDR231C	851817	Q04935	COX20
YDR045C	851615	Q04307	RPC11
YPL184C	855917	Q08925	MRN1
YPR111W	856227	P32328	DBF20
YPR203W	856333	Q08994	
YGL106W	852772	P53141	MLC1
YOL042W	854115	Q08213	NGL1
YPR189W	856319	P17883	SKI3
YKL051W	853815	P35735	SFK1
YGR284C	853201	P53337	ERV29
YML078W	854897	P25719	CPR3
YOR316C	854494	P32798	COT1
YOR326W	854504	P19524	MYO2
YLL054C	850672	Q12244	
YOR293C-A	1466486	Q3E7Y7	
YCR032W	850398	P25356	BPH1
YAR018C	851273	P22209	KIN3
YMR142C	855173	P40212	RPL13B
YOL036W	854120	Q08206	
YGR032W	852920	P40989	GSC2
YOR072W-B	1466483	Q3E832	
YKL022C	853846	P09798	CDC16
YIL070C	854740	P40513	MAM33
YPR034W	856146	Q12406	ARP7
YPL189W	855912	Q08929	GUP2
YJL172W	853267	P27614	CPS1
YOR332W	854509	P22203	VMA4
YMR203W	855243	P23644	TOM40
YDL075W	851484	P0C2H8	RPL31A
YEL076C	856633	P39971	
YNL334C	855382	P53823	SNO2
YMR077C	855101	Q04272	VPS20
YOL002C	854160	Q12442	IZH2
YKL021C			MAK11
YDR415C	852024	Q04033	
YNL319W		P53826	
YNL295W	855421	P48564	MRX6
YDR339C	851939	Q05498	FCF1
YEL018C-A		A0A023PYD9	
YGR174C			CBP4
YMR245W		Q04019	
YJR114W		P47151	
YPL246C	855830	Q12270	RBD2
YNL192W	855529	P08004	CHS1
YDL213C	851313	Q07623	NOP6
YKL148C	853709	Q00711	SDH1
YCL059C	850298	P25586	KRR1
YHR086W-A	1466529	Q3E746	
YLR186W	850883	Q06287	EMG1
YOR193W	854368	Q08580	PEX27
YJL093C	853352	P40310	TOK1
YJL163C	853276	P46996	
YJR153W	853618	P47180	PGU1
YMR284W	855328	P32807	YKU70
YBR101C	852397	P38260	FES1
YMR089C	855114	P40341	YTA12
YER072W	856803	P40046	VTC1
YJL179W	853260	P46988	PFD1
YNL149C	855573	P53903	PGA2
YGR208W	853122	P42941	SER2
YHR141C	855560	P0CX27	RPL42B
YHR141C	856544	P0CX27	RPL42B
YHR141C	855560	P0CX28	RPL42B
YHR141C	856544	P0CX28	RPL42B
YHR170W	856575	P38861	NMD3
YDR096W	851670	Q03833	GIS1
YPL020C	856087	Q02724	ULP1
YER093C	856828	P40061	TSC11
YGL016W	852868	P32767	KAP122
YLR143W	850835	Q12429	DPH6
YNL071W	855653	P12695	LAT1
YKL038W	853828	P32862	RGT1
YLR368W	851083	Q05930	MDM30
YGR255C	853170	P53318	COQ6
YLR393W	851109	P18496	ATP10
YDL019C	851543	Q12451	OSH2
YDL022W	851539	Q00055	GPD1
YHL021C	856365	P23180	AIM17
YCR079W	850441	P25646	PTC6
YOR243C	854417	Q08647	PUS7
YOR126C	854293	P41734	IAH1
YDR413C		P87266	
YDR391C	852000	Q04170	
YJR080C	853543	P47127	AIM24
YMR134W	855164	P40207	ERG29
YNL089C		P53936	
YOR070C	854236	Q08484	GYP1
YKL125W	853734	P36070	RRN3
YOR328W	854506	P51533	PDR10
YLR176C	850873	P48743	RFX1
YNL308C	855408	P42846	KRI1
YAL069W		O13588	
YGR146C-A	1466459	Q8TGT9	
YJL037W	853414	P47056	IRC18
YDR091C	851665	Q03195	RLI1
YHR078W	856477	P38799	
YGL194C	852681	P53096	HOS2
YJL104W	853340	P42949	PAM16
YAL063C	851236	P39712	FLO9
YPL255W	855820	Q12365	BBP1
Q0017		Q9ZZX8	
YER178W	856925	P16387	PDA1
YNL239W			LAP3
YMR290W-A		A0A023PZH5	
YJL050W	853397	P47047	MTR4
YHR007C-A	1466526	Q07074	
YLR126C	850817	Q12288	
YLR099W-A	850789	Q3E798	MIM2
YPL196W	855905	Q08952	OXR1
YPR135W	856254	Q01454	CTF4
YGL138C	852739	P53122	
YHL044W	856341	P38727	
YER030W	856752	P40019	CHZ1
YDR240C	851827	Q03782	SNU56
YGR091W	852983	P49704	PRP31
YFR029W	850587	P43606	PTR3
YKL048C	853818	P32801	ELM1
YOL056W	854098	Q12326	GPM3
YPR044C		A0A023PZI1	OPI11
YOR098C	854265	P20676	NUP1
YJL002C	853455	P41543	OST1
YNL275W	855446	P53838	BOR1
YDL244W	851353	Q07748	THI13
YDR179C	851759	Q03981	CSN9
YPL061W	856044	P54115	ALD6
YDL165W	851389	P06100	CDC36
YGR200C	853114	P42935	ELP2
YDL140C	851415	P04050	RPO21
YJR084W	853546	P47130	
YMR095C	855120	Q03144	SNO1
YDR120C	851698	P15565	TRM1
YDR003W	851566	Q03446	RCR2
YOL110W	854039	P41912	SHR5
YGR191W	853104	P06775	HIP1
YNR071C	855808	P53757	
YOR213C	854388	Q99314	SAS5
YJL220W		A0A023PXN9	
YJL220W		P40891	
YGR270C-A		Q8TGN7	
YJR034W	853491	Q02772	PET191
YHR214W-A		O13534	
YOR253W	854427	Q08689	NAT5
YBL010C	852273	P32788	
YLR423C	851142	Q06410	ATG17
YKL053W		P35733	
YJR019C	853477	P41903	TES1
YLR357W	851071	Q06488	RSC2
YOR008C-A	854171	Q3E7B9	
YHR161C	856566	P38856	YAP1801
YBR053C	852342	P38235	
YBL059C-A	852220	Q3E7A4	CMC2
YPL238C		Q99401	
YLR197W	850894	Q12460	NOP56
YOL113W	854036	Q12469	SKM1
YPL052W	856055	Q02803	OAZ1
YHR074W	856473	P38795	QNS1
YKR093W	853968	P32901	PTR2
YFL003C	850545	P40965	MSH4
YHR164C	856569	P38859	DNA2
YPR112C	856228	Q06106	MRD1
YGL227W	852624	P53076	VID30
YDR499W	852110	Q04377	LCD1
YOR060C	854226	Q08457	SLD7
YER128W	856865	P40080	VFA1
YLR187W	850884	Q06315	SKG3
YJR093C	853555	P45976	FIP1
YKL201C	853634	P36044	MNN4
YPL186C	855916	Q08926	UIP4
YCR021C	850385	P25619	HSP30
YOL076W	854079	Q12387	MDM20
YOR186C-A		Q8TGL3	
YPR148C	856271	Q06523	
YBR255C-A	852558	Q3E776	RCF3
YGR081C	852972	P53251	SLX9
YJL201W	853229	P32525	ECM25
YGL243W	852608	P53065	TAD1
YJL161W	853279	P46998	FMP33
YGL194C-A	3799973	Q2V2P6	
YGR148C	853051	P24000	RPL24B
YDR166C	851744	P89102	SEC5
YDL092W	851466	P38985	SRP14
YKL123W		P36071	
YMR099C	855125	Q03161	
YFR041C	850602	P43613	ERJ5
YJR021C	853478	P21651	REC107
YMR132C	855162	P40206	JLP2
YFL059W	850485	P43545	SNZ3
YGL136C	852741	P53123	MRM2
YDL041W		Q12352	
YHL006W-A		A0A023PXE5	
YBL042C	852238	P38196	FUI1
YBL039C	852241	P28274	URA7
YFL062W	850482	P43542	COS4
YGR276C	853193	P53331	RNH70
YKL224C	853656	P35994	PAU16
YPL280W	855849	Q08992	HSP32
YML115C	854925	P23642	VAN1
YJL070C	853375	P40361	
YIL051C	854760	P40185	MMF1
YPR143W	856264	Q06511	RRP15
YCL026C-A	850332	P37261	FRM2
YKL077W	853785	P36081	
YPL261C		Q08976	
YBR217W	852518	P38316	ATG12
YMR086W	855110	Q04279	SEG1
YHR204W	856611	P38888	MNL1
YGL129C	852748	Q01163	RSM23
YBR200W-A	1466449	Q3E755	
YOR381W	854563	Q08905	FRE3
YNL226W		P53864	
YNL040W	855688	P53960	
YNL117W	855606	P30952	MLS1
YLL034C	850625	Q07844	RIX7
YLL023C	850637	Q12164	POM33
YBL003C	852283	P04912	HTA2
YKR103W	853978	P0CE68	NFT1
YDL241W	851356	Q07738	
YDL082W	851477	Q12690	RPL13A
YLR065C	850754	Q99382	ENV10
YIL118W	854688	Q00245	RHO3
YFR026C	850583	P43604	ULI1
YOR113W	854280	P41696	AZF1
YFL014W	850532	P22943	HSP12
YLL031C	850628	Q07830	GPI13
YLR419W	851137	Q06698	
YNL050C	855677	P53952	
YPL034W	856072	Q03083	
YGR053C	852944	P53234	
YGR069W		P53245	
YNL086W	855638	P48232	SNN1
YHL002C-A		A0A023PYG1	
YDR277C	851870	P35198	MTH1
YDR291W	851885	Q05549	HRQ1
YER003C	856720	P29952	PMI40
YGL224C	852648	P53078	SDT1
YMR044W	855061	Q04213	IOC4
YLR149C-A		P0C5P8	
YNL017C		P53977	
YGL193C	852682	P53097	
YNR070W	855807	P53756	PDR18
YIL097W	854710	P40492	FYV10
YOR273C	854447	Q12256	TPO4
YPL116W	855987	Q02959	HOS3
YNR067C	855804	P53753	DSE4
YPL131W	855972	P26321	RPL5
YDR475C	852086	Q03361	JIP4
YHL030W-A		A0A023PZD5	
YGL020C	852864	P53192	GET1
YKR104W	853979	P0CE69	
YDR244W	851831	P35056	PEX5
YDR407C	852016	Q04183	TRS120
YLR294C		O13543	
YDR382W	851990	P02400	RPP2B
Q0144		Q9ZZW2	
YNL305C	855411	P48558	BXI1
YCL046W		P25575	
YBR069C	852361	P38085	TAT1
YER163C	856910	P32656	GCG1
YPR017C	856128	P32601	DSS4
YGL177W		P53105	
YLR405W	851121	Q06063	DUS4
YGL189C	852686	P39938	RPS26A
YDR102C		Q03864	
YBR056W-A	1466443	I2HB52	
YMR222C	855262	Q05015	FSH2
YJL029C	853423	P47061	VPS53
YCR104W	850468	P25610	PAU3
YDL188C	851339	P23595	PPH22
YGR122W	853020	P53272	
YNL015W	855717	P0CT04	PBI2
YKR024C	853894	P36120	DBP7
YGL003C	852881	P53197	CDH1
YPL012W	856095	Q12754	RRP12
YAL046C	851251	P39724	BOL3
YJR010W	853466	P08536	MET3
YDR405W	852014	P32387	MRP20
YNL146C-A	1466510	Q3E7Z1	
YCL001W	850354	P25560	RER1
YOR161W-A		Q8TGL5	
YHR163W	856568	P38858	SOL3
YDR443C	852053	P38931	SSN2
YDR059C	851631	P15732	UBC5
YJR151W-A	1466471	Q3E775	
YDR144C	851722	P53379	MKC7
YDL157C	851398	Q12082	
YBR009C	852294	P02309	HHF1
YBR009C	855701	P02309	HHF1
YFL066C	850478	P43538	
YOL147C	854018	Q12462	PEX11
YMR272W-A		Q8TGM0	
YOR338W	854516	Q99326	
YIR034C	854852	P38998	LYS1
YEL005C	856713	P40003	VAB2
YIL109C	854697	P40482	SEC24
YDL058W	851501	P25386	USO1
YDL096C		Q07521	OPI6
YJR144W	853609	P32787	MGM101
YLR157C-C	1466410	P0CY05	
YLR157C-C	1466411	P0CY05	
YLR157C-C	1466415	P0CY05	
YLR157C-C	1466414	P0CY05	
YLR157C-C	1466410	P0CY02	
YLR157C-C	1466411	P0CY02	
YLR157C-C	1466415	P0CY02	
YLR157C-C	1466414	P0CY02	
YLR157C-C	1466410	P0CY04	
YLR157C-C	1466411	P0CY04	
YLR157C-C	1466415	P0CY04	
YLR157C-C	1466414	P0CY04	
YLR157C-C	1466410	P0CY03	
YLR157C-C	1466411	P0CY03	
YLR157C-C	1466415	P0CY03	
YLR157C-C	1466414	P0CY03	
YGR210C	853124	P42942	
YHL046C	856339	P38725	PAU13
YPL017C	856090	Q02733	IRC15
YOR178C	854350	P28006	GAC1
YAR020C	851275	P39545	PAU7
YHR056W-A		A0A023PXL7	
YHL004W	856384	P32902	MRP4
YNL063W	855662	P53944	MTQ1
YBL038W	852242	P38064	MRPL16
YLR463C		O13557	
YDL155W	851400	P24870	CLB3
YOR188W	854360	P21339	MSB1
YDR147W	851725	Q03764	EKI1
YDL191W	851419	P0CX85	RPL35A
YDL191W	851336	P0CX85	RPL35A
YDL191W	851419	P0CX84	RPL35A
YDL191W	851336	P0CX84	RPL35A
YBR056C-B		P0C5L0	
YNL294C	855422	P48565	RIM21
YNR046W	855782	P53738	TRM112
YOL159C	854006	Q08300	CSS3
YBR081C	852373	P35177	SPT7
YFL047W	850497	P43556	RGD2
YFR032C-A	850592	P05747	RPL29
YFR056C		P43624	
YMR321C	855371	Q04898	
YNL167C	855554	Q02100	SKO1
YNL280C	855441	P32462	ERG24
YER173W	856920	P32641	RAD24
YKR056W	853930	P33753	TRM2
YJL073W	853372	P40358	JEM1
YDL128W	851429	Q99385	VCX1
YIL102C-A	3799974	Q2V2P5	
YLR026C	850713	Q01590	SED5
YDR310C	851905	P46676	SUM1
YLR267W	850972	Q06150	BOP2
YKL203C	853632	P32600	TOR2
YNR002C	855736	P32907	ATO2
YGR079W	852970	P53249	
YNL036W	855692	P53615	NCE103
YGL115W	852763	P12904	SNF4
YKR054C	853928	P36022	DYN1
YGL105W	852773	P46672	ARC1
YEL065W	856644	P39980	SIT1
YJL022W		P47066	
YLR093C	850782	Q12255	NYV1
YGR026W	852910	P53217	
YJR038C		P47106	
YML131W	854908	Q03102	
YPL010W	856097	P53600	RET3
YNL075W	855649	P53941	IMP4
YOR382W	854564	Q08906	FIT2
YEL055C	856655	P39985	POL5
YGR087C	852978	P26263	PDC6
YKR057W	853931	P0C0V8	RPS21A
YOL071W	854083	Q08230	
YER029C	856751	P40018	SMB1
YDL160C-A	1466431	Q3E829	MHF2
YLR085C	850774	Q12509	ARP6
YOR363C	854545	P52960	PIP2
YGR278W	853195	P53333	CWC22
YDR127W	851705	P08566	ARO1
YGR042W	852933	P53227	MTE1
YLR246W	850947	Q06551	ERF2
YNR058W	855795	P50277	BIO3
YCR054C	850421	P25355	CTR86
YML038C	854970	Q03697	YMD8
YCR046C	850413	P25626	IMG1
YDR497C	852108	P30605	ITR1
YGR043C	852934	P53228	NQM1
YKL133C	853725	P36066	
YOR069W	854235	Q92331	VPS5
YGL165C		P53106	
YLR433C	851153	P23287	CNA1
YOR075W	854242	P41834	UFE1
YGR110W	853007	P53264	CLD1
YGR089W	852980	P53253	NNF2
YPR173C	856303	P52917	VPS4
YDL162C		Q12307	
YFL044C	850500	P43558	OTU1
YIL105W-A	13393613	Q8TGN5	
YPL233W	855843	Q12143	NSL1
YPR024W	856135	P32795	YME1
YGL158W	852719	P38622	RCK1
YFR011C	850563	P43594	
YBR007C	852292	P38213	DSF2
YKL122C	853737	P32342	SRP21
YML122C		Q03207	
YPL152W-A	1466519	Q8TGR9	
YOR124C	854291	Q01476	UBP2
YCR064C		P25640	
YER089C	856823	P39966	PTC2
YGR262C	853178	P53323	BUD32
YLR227C	850924	Q05955	ADY4
YDR201W	851782	Q03954	SPC19
YGL200C	852675	P32803	EMP24
YJR094W-A	853557	P0CX25	RPL43B
YJR094W-A	856156	P0CX25	RPL43B
YJR094W-A	853557	P0CX26	RPL43B
YJR094W-A	856156	P0CX26	RPL43B
YOR008W-B		P0C5Q9	
YIL084C	854725	P40505	SDS3
YCL001W-B	850356	Q96VH2	
YGL117W	852761	P53133	
YGL186C	852689	P53099	TPN1
YGR010W	852893	P53204	NMA2
YLR012C	850699	Q07927	
YHL009C	856377	P38749	YAP3
YLR111W		Q12528	
YLR152C	850845	P54072	
YLR370C	851085	Q05933	ARC18
YMR036C	855052	P23748	MIH1
YML012W	854997	P54837	ERV25
YOL025W	854133	Q92325	LAG2
YOR057W	854222	Q08446	SGT1
YOR265W	854439	P48606	RBL2
YGR198W	853112	P46951	YPP1
YJL052W	853395	P00360	TDH1
YNL054W	855673	P53950	VAC7
YNR006W	855739	P40343	VPS27
YBR146W	852443	P38120	MRPS9
YNR042W		P53737	
YGR137W		P53282	
YML100W	854872	P38427	TSL1
YPL187W	855914	P01149	MF(ALPHA)1
YGL058W	852822	P06104	RAD6
YNL261W	855460	P50874	ORC5
YOL127W	853993	P04456	RPL25
YOR107W	854274	Q99188	RGS2
YGL226W	852626	P53077	MTC3
YGL055W	852825	P21147	OLE1
YIL039W	854772	P40533	TED1
YLL026W	850633	P31539	HSP104
YGL184C	852691	P53101	STR3
YDR163W	851741	Q03772	CWC15
YLR289W	850996	P46943	GUF1
YDL146W	851409	Q12342	LDB17
YBR171W	852469	P33754	SEC66
YGL024W		P53190	
YPR191W	856321	P07257	QCR2
YER179W	856926	P25453	DMC1
YFR022W	850578	P43602	ROG3
YHR138C	856540	P38841	
YBL028C	852253	P38202	
YEL011W	856705	P32775	GLC3
YBR135W	852432	P20486	CKS1
YOL142W	854023	Q08285	RRP40
YGL151W	852726	P53114	NUT1
YJR139C	853604	P31116	HOM6
YKR100C	853975	P36169	SKG1
YCR017C	850376	P25618	CWH43
YLL066W-B	1466404	Q8TGJ7	
YHR166C	856571	P16522	CDC23
YBR264C	852567	P38146	YPT10
YDR363W-A	851967	O94742	SEM1
YDL221W		Q07649	
YDL089W	851469	Q12066	NUR1
YHR151C	856556	P38849	MTC6
YIR003W	854819	P40563	AIM21
YAR050W	851289	P32768	FLO1
YOR239W	854414	Q08641	ABP140
YOL091W	854062	Q12411	SPO21
YJR158W	853623	P47185	HXT16
YOR317W	854495	P30624	FAA1
YDR385W	854301	P32324	EFT2
YDR385W	851993	P32324	EFT2
YBR043C	852331	P38227	QDR3
YMR312W	855360	Q04868	ELP6
YDR331W	851931	P49018	GPI8
YGR101W	852993	P53259	PCP1
YDR196C	851777	Q03941	CAB5
YFR047C	850608	P43619	BNA6
YJL089W	853356	P46954	SIP4
YNL188W	855533	P11927	KAR1
YBL059W	852221	P34224	
YKR083C	853958	P36162	DAD2
YML112W	854928	P46963	CTK3
YOR370C	854552	P32864	MRS6
YDR116C	851694	Q04599	MRPL1
YDR001C	851564	P32356	NTH1
YLR114C	850805	Q12500	AVL9
YDL230W	851368	P25044	PTP1
YAL016C-B		P0C1V3	
YDR160W	851738	Q03770	SSY1
YER166W	856913	P32660	DNF1
YML099C	854874	P05085	ARG81
YML123C	854916	P25297	PHO84
YJL077W-B	1466467	Q8TGT3	
YJL016W	853436	P47072	
YMR141C		P40211	
YDR123C	851701	P26798	INO2
YBR131W	852428	P38273	CCZ1
YMR324C		Q04909	
YNL146W	855576	P53906	
YOR211C	854386	P32266	MGM1
YHL014C	856372	P38746	YLF2
YPR170C		A0A023PYK2	
YDR322W	851921	Q06678	MRPL35
YJL127W-A		P0C5P1	
YMR207C			HFA1
YDR040C	851610	P13587	ENA1
YER061C	856790	P39525	CEM1
YDR025W	852337	P0CX47	RPS11A
YDR025W	851589	P0CX47	RPS11A
YDR025W	852337	P0CX48	RPS11A
YDR025W	851589	P0CX48	RPS11A
YIR031C	854849	P21826	DAL7
YDR046C	851616	P41815	BAP3
YMR236W	855276	Q05027	TAF9
YPR123C		O13566	
YDL057W	851502	Q07379	
YPR142C		O13570	
YDL248W	851348	Q07788	COS7
YKL225W		P36030	
YCR097W	850459	P0CY11	HMRA1
YDR008C		A0A023PZ99	
YFL051C	850493	P43552	
YPL063W	856042	Q02776	TIM50
YER082C	856815	P40055	UTP7
YLR213C	850910	Q05790	CRR1
YKL189W	853646	P32464	HYM1
YER118C	856854	P40073	SHO1
YJR007W	853463	P20459	SUI2
YML034C-A		A0A023PXP7	
YER152C	856896	P10356	
YBR233W-A	852535	P69850	DAD3
YDR029W		Q12111	
YLR146C	850838	Q12455	SPE4
YAR019C	851274	P27636	CDC15
YPR007C	856115	Q12188	REC8
YHR021C	856415	P38711	RPS27B
YHR198C	856605	P38884	AIM18
YNL228W		P53862	
YOR191W	854363	Q08562	ULS1
YLR445W	851166	Q06201	GMC2
YBR092C	852389	P24031	PHO3
YNL211C	855510	P53869	MRX7
YBR126C	852423	Q00764	TPS1
YOL064C	854090	P32179	MET22
YGL230C	852621	P53074	
YLR169W		O13561	
YCL041C		P25571	
YJR096W	853559	P47137	
YGR103W	852995	P53261	NOP7
YBR057C	852348	P38236	MUM2
YGR096W	852988	P53257	TPC1
YBR086C	852382	P38250	IST2
YLR202C		O13531	
YIL074C	854736	P40510	SER33
YDR485C	852096	Q03388	VPS72
YIL022W	854790	Q01852	TIM44
YHL034C	856351	P10080	SBP1
YNR021W	855755	P53723	
YFL054C	850490	P43549	AQY3
YAR029W	851281	P39549	
YBR174C		P38294	
YLL053C	850673	P0CD98	
YKL113C	853747	P26793	RAD27
YLR333C	851045	P0C0T4	RPS25B
YOL049W	854108	Q08220	GSH2
YPR084W	856199	Q06821	
YGR112W	853009	P53266	SHY1
YER107C	856844	P40066	GLE2
YHR124W	856524	P38830	NDT80
YPL149W	855954	Q12380	ATG5
YIL030C	854781	P40318	SSM4
YMR204C	855244	Q03694	INP1
YAR002W	851263	P39705	NUP60
YJL032W		P47059	
YBR281C	852584	P38149	DUG2
YJR065C	853528	P47117	ARP3
YNL201C	855520	P40164	PSY2
YNR033W	855768	P37254	ABZ1
YNR034W	855769	P50278	SOL1
YDR408C	852017	P04161	ADE8
YMR011W	855023	P23585	HXT2
YOL043C	854114	Q08214	NTG2
YDR038C	851608	Q12691	ENA5
YDL204W	851323	Q12443	RTN2
YDR019C	851582	P48015	GCV1
YHR011W	856402	P38705	DIA4
YML008C	855003	P25087	ERG6
YHR096C	856496	P38695	HXT5
YMR109W	855136	Q04439	MYO5
YOR043W	854208	P12611	WHI2
YOR331C		Q08786	
YLR082C	850771	Q12020	SRL2
YNL272C	855449	P17065	SEC2
YNL245C	855476	P53854	CWC25
YNR074C	855811	P52923	AIF1
YBL103C	852171	P38165	RTG3
YLR193C	850890	Q05776	UPS1
YPL089C	856016	Q12224	RLM1
YCR043C	850410	P25361	
YIL140W	854666	P38928	AXL2
YKL213C	853667	P36037	DOA1
YLL043W	850683	P23900	FPS1
YDR477W	852088	P06782	SNF1
YJL019W	853434	P47069	MPS3
YJR082C	853544	P47128	EAF6
YMR004W	855016	P40959	MVP1
YNL123W	855600	P53920	NMA111
YOR309C		Q12444	
YER020W	856741	P10823	GPA2
YOR104W	854271	Q12057	PIN2
YJL181W	853257	P46987	RBH1
YLR337C	851051	P37370	VRP1
YHR185C	856591	P38872	PFS1
YLL066W-A	850476	P0CX99	
YLL066W-A	850476	P0CY00	
YLL066W-A	850476	P0CY01	
YLR039C	850728	P40395	RIC1
YDR254W	851841	P38907	CHL4
YLR457C	851180	P52919	NBP1
YER125W	856862	P39940	RSP5
YDR514C	852126	Q04408	
YGL013C	852871	P12383	PDR1
YLR377C	851092	P09201	FBP1
YOL114C	854035	Q12322	PTH4
YLR104W	850794	Q08045	LCL2
YPR166C	856295	P10663	MRP2
YER122C	856859	P38682	GLO3
YLR319C	851029	P41697	BUD6
YHR190W	856597	P29704	ERG9
YLR184W		Q06267	
YKL154W	853702	P36057	SRP102
YGL076C	852804	P05737	RPL7A
YKR063C	853937	P36146	LAS1
YPR167C	856296	P18408	MET16
YIL031W	854780	P40537	ULP2
YOR300W		Q08756	
YJR095W	853558	P33303	SFC1
YLR317W		O13553	
YLL003W	850657	Q12369	SFI1
YPL231W	855845	P19097	FAS2
YDR296W	851890	Q06630	MHR1
YMR158C-A	855192	Q3E843	
YPR025C	856136	P37366	CCL1
YLR004C	850690	Q07904	THI73
YOR220W	854395	Q12044	RCN2
YLR407W	851123	Q06070	
YLR336C	851049	Q06132	SGD1
YOR378W	854560	Q08902	AMF1
YPL098C	856006	Q02889	MGR2
YBR159W	852456	P38286	IFA38
YLR430W	851150	Q00416	SEN1
YBR118W	852415	P02994	TEF2
YBR118W	856195	P02994	TEF2
YFR036W-A		A0A023PZD0	
YHR075C	856474	P38796	PPE1
YKL163W	853693	Q03180	PIR3
YMR216C	855256	Q03656	SKY1
YLR436C	851156	Q06673	ECM30
YGR067C	852958	P53243	
YMR159C	855194	Q03818	ATG16
YJR086W	853548	P18852	STE18
YDL216C	851310	Q12468	RRI1
YLR347C	851061	Q06142	KAP95
YLR324W	851034	Q06169	PEX30
YKL174C	853680	P36029	TPO5
YMR307C-A		P0C5Q5	
YBL004W	852282	P35194	UTP20
YFR024C-A	850580	P43603	LSB3
YOL059W	854095	P41911	GPD2
YPR147C	856270	Q06522	
YBR163W	852461	P38289	EXO5
YGR094W	852986	P07806	VAS1
YMR272C	855315	Q03529	SCS7
YDL100C	851458	Q12154	GET3
YLR460C	851182	P54007	
YMR106C	855132	Q04437	YKU80
YBL013W	852270	P32785	FMT1
YLR113W	850803	P32485	HOG1
YGL226C-A	852625	Q92316	OST5
YGR045C		P53229	
YNR016C	855750	Q00955	ACC1
YGR175C	853086	P32476	ERG1
YDL068W		Q07435	
YBL112C	852160	A0A023PXF5	
YBL112C	852160	Q3E7Y4	
YFR045W	850606	P43617	
YLR046C	850735	Q12253	
YER038W-A	20098144	A0A023PZB3	FMP49
YPL129W	855974	P35189	TAF14
YGL008C	852876	P05030	PMA1
YGR115C		P53269	
YBR231C	852532	P38326	SWC5
YLR125W	850816	Q12138	
YKL134C	853724	P35999	OCT1
YIL014W	854801	P40549	MNT3
YLR196W	850893	P21304	PWP1
YHR117W	856517	P38825	TOM71
YER057C	856785	P40037	HMF1
YDL026W		Q12147	
YML092C	854882	P23639	PRE8
YFR002W	850552	P34077	NIC96
YKR011C	853881	Q02209	
YKL005C	853865	P36106	BYE1
YNL223W	855498	P53867	ATG4
YCR095W-A	3077354	Q3E787	
YPR153W	856276	Q06537	MAY24
YHR109W	856509	P38818	CTM1
YGR108W	853002	P24868	CLB1
YNR032C-A	855767	Q6Q546	HUB1
YDL124W	851433	Q07551	
YNL133C	855589	P53913	FYV6
YLR363W-A	851078	Q3E747	
YPR164W	856293	Q06211	MMS1
YBL066C	852214	P34228	SEF1
YGR218W	853133	P30822	CRM1
YPL026C	856081	Q12505	SKS1
YKL069W	853794	P36088	
YML104C	854867	Q01846	MDM1
YML058W	854945	Q04964	SML1
YPR001W	856107	P43635	CIT3
YGR205W	853119	P42938	TDA10
YBR008C	852293	P38124	FLR1
YFL012W	850535	P43580	
YIL137C	854669	P40462	TMA108
